,mean value,,NaN,doesn't exist or unknow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,value extracted from graphic,,none,doesn't exist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,%wt,mm,mm,mm,nm,nm,cc/g,sqm/g,cm2,K,Pa,Pa,Pa,mL(STP)/min,,mL(STP)/min,%,days,,barrer,mol/(sqm.s.Pa),,barrer,mol/(sqm.s.Pa),,barrer,mol/(sqm.s.Pa),,barrer,mol/(sqm.s.Pa),,barrer,mol/(sqm.s.Pa),,barrer,mol/(sqm.s.Pa),,barrer,mol/(sqm.s.Pa),,barrer,mol/(sqm.s.Pa),,barrer,mol/(sqm.s.Pa),,barrer,mol/(sqm.s.Pa),,,,
,type,description,support_material,subtype,filler_loading,previous_thickness,min_thickness,max_thickness,min_pore_size,max_pore_size,pore_volume,specific_surface_area,surface_area,temperature,feed_pressure,permeate_pressure,delta_pressure,feed_flow_rate,sweep_gas,sweep_gas_flow,stage_cut,aging,x_He,Py_He,Pe_He,x_H2,Py_H2,Pe_H2,x_CO2,Py_CO2,Pe_CO2,x_O2,Py_O2,Pe_O2,x_H2S,Py_H2S,Pe_H2S,x_N2,Py_N2,Pe_N2,x_CO,Py_CO,Pe_CO,x_CH4,Py_CH4,Pe_CH4,x_C2H6,Py_C2H6,Pe_C2H6,x_SF6,Py_SF6,Pe_SF6,provided_data_type,in_reference_data_location,reference,url
,polymer,IPI-0.25,NaN,ionic copolyimides,none,none,40,60,NaN,NaN,NaN,367,NaN,308,200000,1000,199000,NaN,NaN,NaN,0.5,NaN,none,none,none,1,201,1.34525505952268E-09,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
,polymer,IPI-0.50,NaN,ionic copolyimides,none,none,40,60,NaN,NaN,NaN,83,NaN,308,200000,1000,199000,NaN,NaN,NaN,0.5,NaN,none,none,none,1,78,5.22039276829698E-10,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
,polymer,IPI-0.75,NaN,ionic copolyimides,none,none,40,60,NaN,NaN,NaN,56,NaN,308,200000,1000,199000,NaN,NaN,NaN,0.5,NaN,none,none,none,1,30,2.00784337242192E-10,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
,polymer,IPI-1.00,NaN,ionic copolyimides,none,none,40,60,NaN,NaN,NaN,41,NaN,308,200000,1000,199000,NaN,NaN,NaN,0.5,NaN,none,none,none,1,8.4,5.62196144278137E-11,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
,polymer,PI-0.25,NaN,polyimides,none,none,40,60,NaN,NaN,NaN,411,NaN,308,200000,1000,199000,NaN,NaN,NaN,0.5,NaN,none,none,none,none,none,none,1,191,1.27832694710862E-09,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
,polymer,PI-0.50,NaN,polyimides,none,none,40,60,NaN,NaN,NaN,219,NaN,308,200000,1000,199000,NaN,NaN,NaN,0.5,NaN,none,none,none,none,none,none,1,121,8.09830160210173E-10,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
,polymer,PI-0.75,NaN,polyimides,none,none,40,60,NaN,NaN,NaN,63,NaN,308,200000,1000,199000,NaN,NaN,NaN,0.5,NaN,none,none,none,none,none,none,1,66,4.41725541932822E-10,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
,polymer,PI-1.00,NaN,polyimides,none,none,40,60,NaN,NaN,NaN,53,NaN,308,200000,1000,199000,NaN,NaN,NaN,0.5,NaN,none,none,none,none,none,none,1,25,1.6732028103516E-10,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
,polymer,IPI-0.25,NaN,ionic copolyimides,none,none,40,60,NaN,NaN,NaN,367,NaN,308,200000,1000,199000,NaN,NaN,NaN,0.5,NaN,none,none,none,none,none,none,1,178,1.19132040097034E-09,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
,polymer,IPI-0.50,NaN,ionic copolyimides,none,none,40,60,NaN,NaN,NaN,83,NaN,308,200000,1000,199000,NaN,NaN,NaN,0.5,NaN,none,none,none,none,none,none,1,44,2.94483694621881E-10,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
